0.0079	-0.0503	0
0.0384	-0.0334	0
0.0509	-0.0009	0
0.0396	0.032	0
0.0097	0.05	0
-0.0247	0.0445	0
-0.0475	0.0183	0
-0.0481	-0.0165	0
-0.0262	-0.0436	0
-0.0129	-0.0702	0
0.0352	-0.0621	0
0.0669	-0.0249	0
0.0673	0.0239	0
0.0362	0.0616	0
-0.0119	0.0704	0
-0.0544	0.0463	0
-0.0714	0.0005	0
-0.055	-0.0455	0
-0.0324	-0.0809	0
0.0272	-0.0828	0
0.074	-0.046	0
0.0863	0.0124	0
0.0581	0.0649	0
0.0028	0.0871	0
-0.0538	0.0685	0
-0.0853	0.0179	0
-0.0768	-0.0411	0
-0.0548	-0.0882	0
0.0147	-0.1027	0
0.0773	-0.0693	0
0.1037	-0.0034	0
0.0816	0.0641	0
0.0213	0.1016	0
-0.0489	0.0915	0
-0.0963	0.0386	0
-0.0986	-0.0323	0
-0.1043	-0.0919	0
-0.0208	-0.1374	0
0.0724	-0.1186	0
0.1317	-0.0443	0
0.1294	0.0507	0
0.0665	0.122	0
-0.0275	0.1363	0
-0.1086	0.0867	0
-0.139	-0.0034	0
-0.14366	-0.08934	0
-0.05263	-0.16079	0
0.06304	-0.157	0
0.1492	-0.07975	0
0.16556	0.03482	0
0.10444	0.13309	0
-0.00554	0.16909	0
-0.11293	0.12597	0
-0.16748	0.02391	0
-0.18188	-0.08687	0
-0.0835	-0.18346	0
0.05396	-0.19421	0
0.16617	-0.11408	0
0.20063	0.01942	0
0.14121	0.14384	0
0.01571	0.20095	0
-0.11713	0.16404	0
-0.19517	0.05037	0
-0.23128	-0.08366	0
-0.12339	-0.21276	0
0.04223	-0.2423	0
0.1881	-0.15846	0
0.24595	-0.00048	0
0.18872	0.15772	0
0.04318	0.24213	0
-0.12256	0.21324	0
-0.23095	0.08457	0
-0.28637	-0.0801	0
-0.16788	-0.24543	0
0.02915	-0.29592	0
0.21255	-0.20795	0
0.29649	-0.02268	0
0.2417	0.17321	0
0.07382	0.28805	0
-0.12861	0.26811	0
-0.27085	0.12272	0
